maleID,section_num,babyID_1,momID_baby1,babyID_2,momID_baby2,babyID_3,momID_baby3,num_embryos_dev,num_embryos_non_dev,prop_theoret_mom1,prop_theoret_mom2,prop_theoret_mom3
FU1M2,1,E1,FU1F5,E2,FU1F5,E3,FU1F5,20,2,1,0,0
FU1M2,2,E4,FU1F5,E5,FU1F5,E6,FU1F5,26,0,1,0,0
FU1M2,3,E7,FU1F5,E8,FU1F5,E9,FU1F5,38,4,1,0,0
FU1M2,4,E10,FU1F5,E11,FU1F5,E12,FU1F5,48,0,1,0,0
FU1M2,5,E13,FU1F5,E14,FU1F5,E15,FU1F5,28,0,1,0,0
FU1M2,6,E16,FU1F5,E17,FU1F5,E18,FU1F5,28,2,1,0,0
FU1M2,7,E19,FU1F5,E20,FU1F5,E21,FU1F5,20,0,1,0,0
FU1M2,8,E22,FU1F5,E23,FU1F5,E24,FU1F5,23,4,1,0,0
FU1M2,9,E25,FU1F5,E26,FU1F5,E27,FU1F5,18,5,1,0,0
FU1M2,10,E28,FU1F5,E29,FU1F5,E30,FU1F5,16,0,1,0,0
FU1M2,11,E31,FU1F5,E32,FU1F5,E33,FU1F5,17,0,1,0,0
FU1M2,12,E34,FU1F5,E35,FU1F5,E36,FU1F5,19,0,1,0,0
FU1M2,13,E37,FU1F5,E38,FU1F5,E39,FU1F5,10,0,1,0,0
FU1M2,14,E40,FU1F5,E41,FU1F5,E42,FU1F5,12,1,1,0,0
FU1M6,1,E1,FU1F1,E2,FU1F1,E3,FU1F1,16,0,1,0,0
FU1M6,2,E4,FU1F1,E5,FU1F1,E6,FU1F1,17,0,1,0,0
FU1M6,3,E7,FU1F1,E8,FU1F1,E9,FU1F1,25,4,1,0,0
FU1M6,4,E10,FU1F1,E11,FU1F1,E12,FU1F1,21,0,1,0,0
FU1M6,5,E13,FU1F1,E14,FU1F1,E15,FU1F1,24,3,1,0,0
FU1M6,6,E16,FU1F1,E17,FU1F1,E18,FU1F1,21,1,1,0,0
FU1M6,7,E19,FU1F1,E20,FU1F1,E21,FU1F1,21,0,1,0,0
FU1M6,8,E22,FU1F1,E23,FU1F1,E24,FU1F1,24,0,1,0,0
FU1M6,9,E25,FU1F1,E26,FU1F1,E27,FU1F1,17,0,1,0,0
FU1M6,10,E28,FU1F1,E29,FU1F1,E30,FU1F1,19,1,1,0,0
FU1M6,11,E31,FU1F1,E32,FU1F1,E33,FU1F1,17,0,1,0,0
FU1M6,12,E34,FU1F1,E35,FU1F1,E36,FU1F1,16,0,1,0,0
FU1M6,13,E37,FU1F1,E38,FU1F1,E39,FU1F1,14,1,1,0,0
FU1M6,14,E40,FU1F1,E41,FU1F1,E42,FU1F1,16,0,1,0,0
FU2M1,1,E1,FU2F5,E2,FU2F5,E3,FU2F5,24,1,1,0,0
FU2M1,2,E4,FU2F5,E5,FU2F5,E6,FU2F5,15,1,1,0,0
FU2M1,3,E7,FU2F5,E8,FU2F5,E9,FU2F5,32,0,1,0,0
FU2M1,4,E10,FU2F5,E11,FU2F5,E12,FU2F5,26,0,1,0,0
FU2M1,5,E13,FU2F5,E14,FU2F5,E15,FU2F5,36,0,1,0,0
FU2M1,6,E16,FU2F5,E17,FU2F5,E18,FU2F5,38,0,1,0,0
FU2M1,7,E19,FU2F5,E20,FU2F5,E21,FU2F5,50,1,1,0,0
FU2M1,8,E22,FU2F5,E23,FU2F5,E24,FU2F5,44,0,1,0,0
FU2M1,9,E25,FU2F5,E26,FU2F5,E27,FU2F5,45,0,1,0,0
FU2M1,10,E28,FU2F5,E29,FU2F5,E30,FU2F5,43,2,1,0,0
FU2M1,11,E31,FU2F5,E32,FU2F5,E33,FU2F5,39,0,1,0,0
FU2M1,12,E34,FU2F5,E35,FU2F5,E36,FU2F5,40,0,1,0,0
FU2M1,13,E37,FU2F5,E38,FU2F5,E39,FU2F5,17,0,1,0,0
FU2M1,14,E40,FU2F5,E41,FU2F5,E42,FU2F5,24,0,1,0,0
FU2MS,5,E1,FU2F6,E2,FU2F6,,FU2F6,2,0,1,0,0
FU2MS,7,E3,FU2F6,E4,FU2F6,E5,FU2F6,16,1,1,0,0
FU2MS,9,E6,FU2F6,E7,FU2F6,E8,FU2F6,15,0,1,0,0
FU2MS,11,E9,FU2F6,E10,FU2F6,E11,FU2F6,13,0,1,0,0
FU2MS,13,E12,FU2F6,E13,FU2F6,E14,FU2F6,6,0,1,0,0
FU3M4,1,E1,FU3F2,E2,FU3F2,E3,FU3F2,36,0,1,0,0
FU3M4,2,E4,FU3F2,E5,FU3F2,E6,FU3F2,32,2,1,0,0
FU3M4,3,E7,FU3F2,E8,FU3F2,E9,FU3F2,42,2,1,0,0
FU3M4,4,E10,FU3F2,E11,FU3F2,E12,FU3F2,43,1,1,0,0
FU3M4,5,E13,FU3F2,E14,FU3F2,E15,FU3F2,56,4,1,0,0
FU3M4,6,E16,FU3F2,E17,FU3F2,E18,FU3F2,52,2,1,0,0
FU3M4,7,E19,FU3F2,E20,FU3F2,E21,FU3F2,50,6,1,0,0
FU3M4,8,E22,FU3F2,E23,FU3F2,E24,FU3F2,42,0,1,0,0
FU3M4,9,E25,FU3F2,E26,FU3F2,E27,FU3F2,51,5,1,0,0
FU3M4,10,E28,FU3F2,E29,FU3F2,E30,FU3F2,42,3,1,0,0
FU3M4,11,E31,FU3F2,E32,FU3F2,E33,FU3F2,43,2,1,0,0
FU3M4,12,E34,FU3F2,E35,FU3F2,E36,FU3F2,39,6,1,0,0
FU3M4,13,E37,FU3F2,E38,FU3F2,E39,FU3F2,23,2,1,0,0
FU3M4,14,E40,FU3F2,E41,FU3F2,E42,FU3F2,15,6,1,0,0
FU5M5,1,E1,FU5F2,E2,FU5F2,E3,FU5F2,20,1,1,0,0
FU5M5,2,E4,FU5F2,E5,FU5F2,E6,FU5F2,12,0,1,0,0
FU5M5,3,E7,FU5F2,E8,FU5F2,E9,FU5F2,23,3,1,0,0
FU5M5,4,E10,FU5F2,E11,FU5F2,E12,FU5F2,24,0,1,0,0
FU5M5,5,E13,FU5F2,E14,FU5F2,E15,FU5F2,28,1,1,0,0
FU5M5,6,E16,FU5F2,E17,FU5F2,E18,FU5F2,27,0,1,0,0
FU5M5,7,E19,FU5F2,E20,FU5F2,E21,FU5F2,28,2,1,0,0
FU5M5,8,E22,FU5F2,E23,FU5F2,E24,FU5F2,26,0,1,0,0
FU5M5,9,E25,FU5F2,E26,FU5F2,E27,FU5F2,24,1,1,0,0
FU5M5,10,E28,FU5F2,E29,FU5F2,E30,FU5F2,24,0,1,0,0
FU5M5,11,E31,FU5F2,E32,FU5F2,E33,FU5F2,17,0,1,0,0
FU5M5,12,E34,FU5F2,E35,FU5F2,E36,FU5F2,20,1,1,0,0
FU5M5,13,E37,FU5F2,E38,FU5F2,E39,FU5F2,11,1,1,0,0
FU5M5,14,E40,FU5F2,E41,FU5F2,E42,FU5F2,13,0,1,0,0
FU6M4,1,E1,FU6FUM,E2,FU6FUM,E3,FU6FUM,27,0,1,0,0
FU6M4,2,E4,FU6FUM,E5,FU6FUM,E6,FU6FUM,19,2,1,0,0
FU6M4,3,E7,FU6FUM,E8,FU6FUM,E9,FU6FUM,39,0,1,0,0
FU6M4,4,E10,FU6FUM,E11,FU6FUM,E12,FU6FUM,34,1,1,0,0
FU6M4,5,E13,FU6FUM,E14,FU6FUM,E15,FU6FUM,42,1,1,0,0
FU6M4,6,E16,FU6FUM,E17,FU6FUM,E18,FU6FUM,42,2,1,0,0
FU6M4,7,E19,FU6FUM,E20,FU6FUM,E21,FU6FUM,51,0,1,0,0
FU6M4,8,E22,FU6FUM,E23,FU6FUM,E24,FU6FUM,49,1,1,0,0
FU6M4,9,E25,FU6FUM,E26,FU6FUM,E27,FU6FUM,47,2,1,0,0
FU6M4,10,E28,FU6FUM,E29,FU6FUM,E30,FU6FUM,47,0,1,0,0
FU6M4,11,E31,FU6FUM,E32,FU6FUM,E33,FU6FUM,47,1,1,0,0
FU6M4,12,E34,FU6FUM,E35,FU6FUM,E36,FU6FUM,49,0,1,0,0
FU6M4,13,E37,FU6FUM,E38,FU6FUM,E39,FU6FUM,21,0,1,0,0
FU6M4,14,E40,FU6FUM,E41,FU6FUM,E42,FU6FUM,14,2,1,0,0
FU10M1,1,E1,FU10F6,E2,FU10F6,E3,FU10F6,17,0,1,0,0
FU10M1,2,E4,FU10F6,E5,FU10F6,E6,FU10F6,11,0,1,0,0
FU10M1,3,E7,FU10F6,E8,FU10F6,E9,FU10F6,28,0,1,0,0
FU10M1,4,E10,FU10F6,E11,FU10F6,E12,FU10F6,21,0,1,0,0
FU10M1,5,E13,FU10F6,E14,FU10F6,E15,FU10F6,27,0,1,0,0
FU10M1,6,E16,FU10F6,E17,FU10F6,E18,FU10F6,26,1,1,0,0
FU10M1,7,E19,FU10F6,E20,FU10F6,E21,FU10F6,33,1,1,0,0
FU10M1,8,E22,FU10F6,E23,FU10F6,E24,FU10F6,23,2,1,0,0
FU10M1,9,E25,FU10F6,E26,FU10F6,E27,FU10F6,24,0,1,0,0
FU10M1,10,E28,FU10F6,E29,FU10F6,E30,FU10F6,18,0,1,0,0
FU10M1,11,E31,FU10F6,E32,FU10F6,E33,FU10F6,13,0,1,0,0
FU10M1,12,E34,FU10F6,E35,FU10F6,E36,FU10F6,12,0,1,0,0
FU10M1,13,E37,FU10F6,E38,FU10F6,E39,FU10F6,5,0,1,0,0
FU10M1,14,E40,FU10F6,E41,FU10F6,E42,FU10F6,4,0,1,0,0
FU10M2,1,E1,FU10F3,E2,FU10F3,E3,FU10F3,8,0,1,0,0
