"trial","MatingSuccess","rel_repo_fitness","Sex"
12,0,0,"M"
12,0,0,"M"
12,4,3.97473684210526,"M"
12,0,0,"M"
12,0,0,"M"
12,0,0,"M"
12,4,4.02526315789474,"M"
12,0,0,"M"
2,0,0,"M"
2,2,0.375234521575985,"M"
2,2,2.38649155722326,"M"
2,0,0,"M"
2,0,0,"M"
2,0,0,"M"
2,0,0,"M"
2,4,5.23827392120075,"M"
3,0,0,"M"
3,0.8,1.27986771393138,"M"
3,0.8,1.1211244315833,"M"
3,0.8,0.291029350971476,"M"
3,0.8,0.942538238941711,"M"
3,1.6,1.16742455560149,"M"
3,1.6,1.54443985117817,"M"
3,1.6,1.65357585779248,"M"
4,0,0,"M"
4,0,0,"M"
4,1.33333333333333,4.51851851851852,"M"
4,2.66666666666667,1.65079365079365,"M"
4,0,0,"M"
4,0,0,"M"
4,1.33333333333333,1.73544973544974,"M"
4,2.66666666666667,0.0952380952380952,"M"
5,0,0,"M"
5,0,0,"M"
5,2,2.44736842105263,"M"
5,0,0,"M"
5,2,1.55263157894737,"M"
5,2,2.82894736842105,"M"
5,0,0,"M"
5,2,1.17105263157895,"M"
6,0,0,"M"
6,4,4.80365296803653,"M"
6,0,0,"M"
6,0,0,"M"
6,0,0,"M"
6,4,3.19634703196347,"M"
6,0,0,"M"
6,0,0,"M"
8,0,0,"M"
8,0,0,"M"
8,0,0,"M"
8,4,2.44351464435146,"M"
8,0,0,"M"
8,0,0,"M"
8,0,0,"M"
8,4,5.55648535564854,"M"
