"trial","MatingSuccess","rel_repo_fitness"
10,0,0
10,0,0
10,3,3.02793296089385
10,0,0
10,0,0
10,3,2.97206703910615
11,4,4.70886075949367
11,0,0
11,2,1.29113924050633
11,0,0
11,0,0
11,0,0
12,0,0
12,0,0
12,6,6
12,0,0
12,0,0
12,0,0
13,0,0
13,2,1.72704714640198
13,0,0
13,2,1.39950372208437
13,2,2.87344913151365
13,0,0
14,0,0
14,0,0
14,0,0
14,3,2.85217391304348
14,0,0
14,3,3.14782608695652
15,0,0
15,0,0
15,0,0
15,0,0
15,6,6
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,6,6
1,3,2.69466882067851
1,0,0
1,0,0
1,0,0
1,3,3.30533117932149
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,3,5.40112994350283
2,3,0.598870056497175
3,0,0
3,6,6
3,0,0
3,0,0
3,0,0
3,0,0
5,0,0
5,6,6
5,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,7,7
