"trial","MatingSuccess","rel_repo_fitness","Sex"
10,3,2.97206703910615,"M"
10,3,3.02793296089385,"M"
10,0,0,"M"
10,0,0,"M"
10,0,0,"M"
10,0,0,"M"
11,0,0,"M"
11,4,2.62025316455696,"M"
11,0,0,"M"
11,2,3.37974683544304,"M"
11,0,0,"M"
11,0,0,"M"
12,3,1.61052631578947,"M"
12,0,0,"M"
12,0,0,"M"
12,3,4.38947368421053,"M"
12,0,0,"M"
12,0,0,"M"
13,2,1.72704714640198,"M"
13,0,0,"M"
13,0,0,"M"
13,0,0,"M"
13,2,2.87344913151365,"M"
13,2,1.39950372208437,"M"
14,0,0,"M"
14,0,0,"M"
14,0,0,"M"
14,0,0,"M"
14,3,2.85217391304348,"M"
14,3,3.14782608695652,"M"
15,0,0,"M"
15,0,0,"M"
15,0,0,"M"
15,0,0,"M"
15,6,6,"M"
15,0,0,"M"
16,0,0,"M"
16,0,0,"M"
16,0,0,"M"
16,0,0,"M"
16,0,0,"M"
16,6,6,"M"
1,0,0,"M"
1,3,3.30533117932149,"M"
1,0,0,"M"
1,0,0,"M"
1,0,0,"M"
1,3,2.69466882067851,"M"
2,4,7.2015065913371,"M"
2,0,0,"M"
2,0,0,"M"
2,0,0,"M"
2,0,0,"M"
2,0,0,"M"
2,0,0,"M"
2,4,0.7984934086629,"M"
3,0,0,"M"
3,0,0,"M"
3,0,0,"M"
3,6,6,"M"
3,0,0,"M"
3,0,0,"M"
5,0,0,"M"
5,0,0,"M"
5,0,0,"M"
5,0,0,"M"
5,6,6,"M"
5,0,0,"M"
6,0,0,"M"
6,0,0,"M"
6,0,0,"M"
6,6,6,"M"
6,0,0,"M"
6,0,0,"M"
