trial_num,fishID,col_month,lat_to_trial,weight,length,depth,svl,snout_len
1,1,june,11,2.1,145.527,5.971,64.84,9.715
1,2,june,11,2.5,167.067,5.404,66.676,9.963
1,3,june,11,2.5,163.165,5.454,67.335,10.745
1,4,june,11,2.4,156.667,4.761,61.459,9.362
1,5,june,11,1.5,146.603,4.025,56.841,8.293
1,6,june,11,1.6,149.88,4.7,62.76,9.209
2,1,june,11,1.9,180.288,4.618,70.958,10.201
2,2,june,11,2.1,152.248,4.52,65.321,10.292
2,3,june,11,1.8,155.197,4.902,59.439,10.463
2,4,june,11,1.9,149.664,4.293,63.469,8.207
2,5,june,11,2.1,143.074,6.101,60.604,8.754
2,6,june,11,1.8,148.131,4.151,62.398,8.429
3,1,june,14,1.9,152.252,4.418,60.964,8.618
3,2,june,14,2.8,172.729,6.813,71.052,11.521
3,3,june,14,2.2,168.442,6.195,70.417,9.862
3,4,june,14,2.4,163.254,6.016,67.457,11.077
3,5,june,14,1.6,145.841,4.078,60.131,8.751
3,6,june,14,1.6,140.506,4.322,67.149,9.4
4,1,june,13,2.3,173.993,6.66,66.582,9.673
4,2,june,13,2.3,144.237,4.95,68.284,10.954
4,3,june,13,1.8,143.023,3.8,57.967,8.19
4,4,june,13,2,153.544,4.838,59.608,9.613
4,5,june,13,1.5,151.912,3.762,63.549,8.878
4,6,june,13,1.9,176.777,4.699,69.127,9.356
5,1,june,16,1.7,160.023,3.869,62.698,9.434
5,2,june,16,2,175.113,4.684,69.898,9.656
5,3,june,16,2.3,166.566,4.777,67.942,9.514
5,4,june,16,2.2,182.02,5.301,70.217,11.633
5,5,june,16,1.8,168.869,5.62,65.224,8.928
5,6,june,16,1.8,146.716,4.209,62.629,8.902
6,1,june,15,2.5,166.309,4.823,69.53,10.342
6,2,june,15,2.2,165.24,5.552,65.562,11.152
6,3,june,15,2.1,177.969,5.266,73.5,10.13
6,4,june,16,2.8,193.007,5.064,77.818,10.9
6,5,june,16,2,170.007,4.883,66.432,9.072
6,6,june,16,2.2,167.565,6.075,67.957,10.558
6,UM,june,15,2.3,170.546,6.213,64.929,9.44
7,1,june,19,2,168.045,5.801,67.19,11.182
7,2,june,19,1.8,164.923,4.473,67.298,9.887
7,3,june,19,1.8,156.267,5.48,62.192,9.861
7,4,june,19,1.5,154.12,4.901,63.207,10.038
7,5,june,19,2.2,175.954,4.879,70.133,9.959
7,6,june,19,1.9,161.568,5.277,66.208,10.302
8,1,june,19,1.8,163.467,4.485,67.802,9.17
8,2,june,19,2.4,174.266,4.704,69.098,11.645
8,3,june,19,2.5,186.788,5.349,72.093,11.371
8,4,june,19,2.4,180.782,4.83,70.008,9.883
8,5,june,19,2.2,169.706,4.95,65.828,9.843
8,6,june,19,2.4,188.63,5.089,72.74,10.164
10,1,july,12,3.4,202.065,7.423,77.519,11.565
10,2,july,12,2.9,192.257,6.619,72.614,10.912
10,3,july,12,1.2,145.704,4.457,60.731,8.661
10,4,july,12,1.4,156.019,4.268,67.031,9.73
10,5,july,12,1.5,145.716,4.215,61.603,9.71
10,6,july,12,1.5,151.358,4.016,69.647,9.638
11,1,july,12,1.5,144.901,4.209,59.517,8.082
11,2,july,12,1.3,145.687,4.094,58.951,9.173
11,3,july,12,2.9,169.373,6.639,68.469,10.675
11,4,july,12,1.6,150.637,4.785,61.239,8.704
11,5,july,12,1.6,145.956,5.074,58.608,8.877
11,6,july,12,1.2,139.128,3.906,51.345,9.154
12,1,july,14,1.8,151.205,4.943,61.089,9.402
12,2,july,14,1.7,150.455,5.024,62.24,10.095
12,3,july,14,2.7,167.877,6.407,68.41,10.758
12,4,july,14,1.3,141.824,3.951,57.594,8.548
12,5,july,14,1.2,128.91,3.219,61.304,7.578
12,6,july,14,1.6,161.704,4.493,69.243,9.717
13,1,july,14,1.6,155.733,4.387,64.12,9.523
13,2,july,14,1.4,149.057,3.817,60.825,8.785
13,3,july,14,1.2,145.641,4.224,58.959,8.393
13,4,july,14,1.3,135.686,4.413,54.883,7.799
13,5,july,14,2.1,172.765,5.499,71.71,11.911
13,6,july,14,1.4,146.312,3.956,56.702,8.403
14,1,july,16,1.3,112.828,3.602,68.503,8.728
14,2,july,16,1.3,128.041,3.803,49.982,7.769
14,3,july,16,1.3,140.935,3.699,53.955,7.634
14,4,july,16,3,173.357,6.242,67.229,8.167
14,5,july,16,1.3,144.064,4.109,57.445,8.453
14,6,july,16,1.3,138.641,3.923,56.147,7.567
15,1,july,16,1,139.341,3.93,57.564,8.67
15,2,july,16,1.2,141.831,3.79,56.55,8.796
15,3,july,16,1.7,157.988,4.278,61.839,9.294
15,4,july,16,1.9,152.997,4.482,63.47,9.608
15,5,july,16,1.8,156.164,4.405,63.707,9.971
15,6,july,16,1.2,137.125,3.788,53.899,8.547
16,1,july,18,1.6,145.232,3.839,59.05,8.927
16,2,july,18,1.3,137.934,3.789,55.767,8.205
16,3,july,18,0.9,134.22,3.538,50.534,7.934
16,4,july,18,1.2,145.905,4.134,60.027,9.233
16,5,july,18,1.1,142.391,3.222,56.804,8.011
16,6,july,18,2.5,165.037,4.954,68.937,10.073
