trial_num,fishID,MatingSuccess,days_mated,mate_cat,totalEggs,NumDeveloped,NumUndeveloped,length,depth,svl
C1,1,2,"1,2",m,60,60,0,101.02,5.354,44.889
C1,2,1,3,s,0,0,,94.09,4.529,38.298
C1,3,1,1,s,35,35,0,104.08,4.994,44.838
C1,4,2,"1,1",m,60,58,2,90.03,5.328,41.12
C1,5,1,7,s,40,40,0,97.55,4.966,40.051
C1,6,0,,0,0,0,0,97.39,4.121,39.805
C1,7,0,,0,0,0,0,92.85,4.197,37.331
C1,8,0,,0,0,0,0,99.16,4.119,40.789
C3,1,0,,0,0,0,0,98.5,4.411,42.003
C3,2,0,,0,0,0,0,96,4.059,39.796
C3,3,1,5,s,24,24,0,88.68,3.753,38.542
C3,4,2,"1,3",m,44,44,0,88.25,5,38.223
C3,5,1,3,s,42,41,1,103.21,5.151,42.798
C3,6,2,"1,1,5",m,63,63,0,96.13,4.675,40.322
C3,7,1,10,s,18,18,0,97.86,3.779,40.189
C3,8,0,,0,0,0,0,95.26,4.103,36.651
C4,1,3,"2,2,4",m,87,84,3,94.62,5.197,40
C4,2,0,,0,0,0,0,99.56,4.516,41.097
C4,3,0,,0,0,0,0,92.98,4.636,43.137
C4,4,0,,0,0,0,0,92.76,4.249,38.46
C4,5,0,,0,0,0,0,89.43,4.491,36.713
C4,6,0,,0,0,0,0,97.97,4.576,40.233
C4,7,0,,0,0,0,0,88.64,4.247,36.983
C4,8,2,"3,7",m,48,34,14,95.59,4.836,36.91
C5,1,2,"10,12",m,43,33,10,104.3,4.471,43.318
C5,2,1,1,s,25,25,0,93.79,4.829,38.273
C5,3,0,,0,0,0,0,98.97,3.893,38.555
C5,4,0,,0,0,0,0,101.14,4.673,40.809
C5,5,3,"1,7,13",m,71,64,7,95.58,4.855,39.818
C5,6,1,6,s,27,24,3,97.25,4.681,40.833
C5,7,0,,0,0,0,0,90.04,4.11,37.621
C5,8,0,,0,0,0,0,94.8,4.421,40.256
C6,1,0,,0,0,0,0,97.26,4.848,39.422
C6,2,0,,0,0,0,0,93.18,4.927,39.6
C6,3,1,1,s,34,32,2,98.35,5.238,39.999
C6,4,0,,0,0,0,0,88.79,4.562,38.65
C6,5,0,,0,0,0,0,97.13,5.299,47.668
C6,6,1,2,s,38,38,0,112.51,6.082,44.757
C6,7,2,"1,2",m,48,46,2,95.43,4.962,40.153
C6,8,3,"1,1,3",m,54,43,11,107.35,5.835,47.614
C7,1,0,,0,0,0,0,91.14,4.962,38.22
C7,2,1,1,s,26,25,1,99.71,5.154,41.021
C7,3,2,"4,9",m,47,37,10,100.07,5.291,41.371
C7,4,0,,0,0,0,0,94.68,4.442,39.924
C7,5,0,,0,0,0,0,102.52,5.56,44.265
C7,6,2,"1,7",m,26,15,11,104.16,5.5,45.603
C7,7,0,,0,0,0,0,98.91,5.066,41.686
C7,8,2,"1,9",m,75,64,11,91.64,5.091,38.576
C8,1,1,1,s,44,43,1,99.65,5.732,43.456
C8,2,0,,0,0,0,0,91.97,4.968,39.921
C8,3,1,3,s,53,52,1,99.74,4.99,44.143
C8,4,1,1,s,25,25,0,105.14,4.891,41.768
C8,5,1,2,s,51,51,0,95.53,5.401,42.731
C8,6,1,2,s,29,29,0,101.63,4.397,43.535
C8,7,0,,0,0,0,0,110.949,4.852,45.001
C8,8,3,"1,1,2",m,104,95,9,116.04,6.469,51.111
E1,1,1,7,s,58,58,0,99.1,,
E1,2,1,4,s,38,38,0,94.59,,
E1,3,1,1,s,28,28,0,107.04,,
E1,4,1,12,s,37,33,4,106.54,,
E1,5,1,2,s,35,35,0,105.83,,
E1,6,1,10,s,31,20,11,100.8,,
E1,7,0,,0,0,0,0,104.49,,
E1,8,0,,0,0,0,0,106.64,,
E3,1,1,5,s,16,16,0,102.05,,
E3,2,1,1,s,33,32,1,96.2,,
E3,3,0,,0,0,0,0,99.29,,
E3,4,1,4,s,21,21,0,96.24,,
E3,5,0,,0,0,0,0,88.47,,
E3,6,1,5,s,20,14,6,94.23,,
E3,7,3,"1,4,9",m,85,85,0,98.3,,
E3,8,0,,0,0,0,0,95.68,,
E4,1,0,,0,0,0,0,96.9,,
E4,2,0,,0,0,0,0,86.74,,
E4,3,1,4,s,30,30,0,88.62,,
E4,4,0,,0,0,0,0,96.31,,
E4,5,2,"2,3",m,51,45,6,100.63,,
E4,6,1,2,s,27,24,3,92.83,,
