trial_num,fishID,col_date,lat_to_trial,weight,length,depth,svl,snout_len,bp_area,bp_length,preg_status,lat_to_preg
1,1,june,11,1.6,125.907,3.333,47.999,8.112,95.388,26.878,0,NA
1,2,june,11,1.5,158.396,4.116,61.756,9.438,142.017,32.76,1,1
1,3,june,11,2.1,153.734,4.624,60.08,9.043,121.587,34.59,0,NA
1,4,june,11,1.9,159.168,4.458,53.173,9.146,113.186,31.277,0,NA
1,5,june,11,1.9,148.567,4.405,52.12,8.512,123.307,35.703,0,NA
1,6,june,11,1.3,127.965,4.041,50.828,8.16,107.672,31.552,1,1
2,1,june,12,1.6,151.653,3.984,56.593,8.571,128.074,36.291,1,4
2,2,june,12,2,168.685,4.361,65.838,9.343,142.132,36.466,0,NA
2,3,june,12,1.7,152.954,4.329,59.285,7.834,129.101,39.339,0,NA
2,4,june,12,1.3,148.564,3.704,52.84,8.107,127.845,37.157,0,NA
2,5,june,12,1.4,146.875,4.208,57.263,9.009,132.398,32.21,0,NA
2,6,june,12,1.5,145.791,3.77,52.205,8.869,103.303,32.507,1,36
2,G,june,11,2.9,176.369,5.026,69.987,9.309,174.817,42.269,0,NA
2,S,june,11,1.7,154.38,4.234,58.365,8.392,136.086,36.813,1,7
3,1,june,14,1.9,161.462,4.606,64.601,9.552,104.743,30.113,0,NA
3,2,june,14,1.5,161.597,3.861,56.395,9.621,145.694,36.801,0,NA
3,3,june,14,1.9,162.982,4.067,53.414,10.053,143.208,34.866,0,NA
3,4,june,14,1.8,144.103,4.32,53.107,8.571,144.103,33.208,1,1
3,5,june,14,1.5,119.092,3.783,46.469,8.36,119.092,33.596,0,NA
3,6,june,14,1.8,160.743,4.182,32.911,8.732,142.916,32.9011,0,NA
4,1,june,13,1.5,142.04,3.865,52.028,7.232,167.724,36.625,0,NA
4,2,june,13,1.7,159.144,4.484,50.779,8.614,147.758,38.763,0,NA
4,3,june,13,2,158.626,4.881,59.283,8.069,192.239,41.354,0,NA
4,4,june,13,1.4,146.438,3.745,51.89,7.481,168.792,47.158,0,NA
4,5,june,13,1.4,137.17,4.582,58.085,8.006,123.259,33.445,0,NA
4,6,june,13,1.6,153.72,3.65,56.673,9.275,133.729,34.257,0,NA
5,1,june,16,1.2,153.282,3.795,58.286,8.472,157.149,37.687,0,NA
5,2,june,16,1.9,158.636,4.244,61.727,9.22,132.507,36.021,0,NA
5,3,june,16,1.3,143.305,3.719,54.733,8.343,136.013,33.186,0,NA
5,4,june,16,1.5,143.472,3.331,54.568,8.122,122.523,35.565,0,NA
5,5,june,16,1.6,148.654,3.531,54.774,7.455,144.621,37.027,1,6
5,6,june,16,1.3,143.845,3.812,54.435,8.022,113.96,34.845,0,NA
6,1,june,15,1.9,163.517,4.742,65.128,9.81,150.481,40.957,0,NA
6,2,june,15,2,148.06,4.343,56.048,8.366,127.697,35.93,0,NA
6,3,june,15,1.9,167.755,3.959,59.99,9.524,130.743,45.662,0,NA
6,4,june,15,1.5,148.43,3.627,58.459,8.102,149.911,39.633,1,4
6,5,june,15,1.8,156.137,4.658,59.877,9.026,158.628,37.374,0,NA
6,6,june,15,2.3,173.826,4.746,66.908,9.236,156.289,40.916,0,NA
7,1,june,19,1.5,156.674,4.626,59.854,8.974,137.963,37.191,0,NA
7,2,june,19,1.8,162.819,4.166,62.164,8.857,127.388,36.405,0,NA
7,3,june,19,1.3,140.979,3.687,55.209,7.549,113.087,31.563,0,NA
7,4,june,19,1.3,147.78,3.621,47.923,8.287,134.822,34.831,0,NA
7,5,june,19,1.4,142.96,3.93,57.192,9.048,140.002,34.748,0,NA
7,6,june,19,1.7,147.851,4.849,57.19,8.308,160.716,41.1,0,NA
