trial_num,fishID,rank_2_mate,fem_mate,NumDeveloped,NumUndeveloped,totalEggs,lat_to_preg,per_surviving,length,fem_mate_len,fem_mate_cat,depth,svl,bp_area,bp_length
C1,1,5,F5,40,0,40,7,1,87.43,9.755,s,3.181,35.773,40.802,22.962
C1,2,NA,NA,NA,NA,NA,NA,NA,74.13,NA,NA,2.921,30.103,25.652,14.823
C1,3,2,F4,40,1,41,1,0.975609756,85.3,9.003,m,2.923,30.528,25.529,13.811
C1,4,2,F4,18,1,19,1,0.947368421,87.41,9.003,m,3.185,34.432,39.565,17.033
C1,5,4,F2,male died,male died,male died,3,NA,75.56,9.409,NA,2.589,30.008,34.989,17.296
C1,6,3,F1,35,0,35,2,1,85.5,10.102,m,3.259,34.416,42.05,15.895
C1,7,1,F3,35,0,35,1,1,86.24,10.408,s,3.276,35.875,42.49,16.302
C1,8,2,F1,20,0,20,1,1,83.93,10.102,m,3.177,33.039,37.859,16.633
C3,1,1,F6,16,0,16,1,1,93.78,9.613,m,3.645,35.51,63.161,21.051
C3,2,3,F3,24,0,24,5,1,75.11,8.868,s,2.52,28.967,30.744,13.361
C3,3,1,F4,24,0,24,1,1,79.11,8.825,m,2.997,31.897,36.511,14.008
C3,4,3,F6,29,0,29,5,1,90.47,9.613,m,3.231,35.508,42.477,19.678
C3,5,2,F5,41,1,42,3,0.976190476,94.14,10.321,s,3.964,39.183,37.406,16.302
C3,6,2,F4,20,0,20,3,1,78.39,8.825,m,2.725,30.187,35.942,15.286
C3,7,1,F6,29,5,34,1,0.852941176,86.43,9.613,m,3.088,33.664,37.419,17.213
C3,8,4,F7,18,0,18,10,1,85.36,9.786,s,3.101,34.978,48.972,17.045
C4,1,NA,NA,NA,NA,NA,NA,NA,75.6,NA,NA,2.582,30.264,32.694,14.735
C4,2,NA,NA,NA,NA,NA,NA,NA,82.43,NA,NA,2.54,32.057,44.337,17.339
C4,3,1,F1,27,0,27,2,1,85.6,9.462,m,3.245,33.855,41.271,21.399
C4,4,1,F1,34,0,34,2,1,79.62,9.462,m,2.796,31.215,42.724,15.846
C4,5,3,F1,23,3,26,4,0.884615385,87.34,9.462,m,3.288,32.44,45.304,17.779
C4,6,NA,NA,NA,NA,NA,NA,NA,78.76,NA,NA,2.556,30.989,42.899,16.142
C4,7,4,F8,18,4,22,7,0.818181818,81.04,9.559,m,2.804,32.216,39.081,16.191
C4,8,2,F8,16,10,26,3,0.615384615,78.17,9.559,m,2.447,29.885,37.515,16.784
C5,1,1,F5,25,7,32,1,0.78125,98.03,9.558,m,2.635,36.685,39.188,18.856
C5,2,3,F6,24,3,27,6,0.875,79.17,9.725,s,2.637,29.445,38.141,14.977
C5,3,2,N/A,0,22,22,2,0,79.54,N/A,NA,2.488,27.916,31.629,15.389
C5,4,4,F5,25,0,25,7,1,70.89,9.558,m,2.75,27.852,32.721,13.976
