average_cal,lower,upper,episode_sel,sex,species
2.46,1.09,4.24,I_1,M,floridae
0.24,0.043,0.65,I_2,M,floridae
0.57,0.36,0.73,COI1_2,M,floridae
-0.05,-0.19,0.088,COI1_2given1,M,floridae
-0.41,-0.67,-0.018,diff_12,M,floridae
2.82,1.35,4.47,I_12,M,floridae
0.037,0.0014,0.12,I_3,M,floridae
0.59,0.39,0.75,COI12_3,M,floridae
0.04,-0.053,0.17,COI12_3given2,M,floridae
-0.5,-0.73,-0.19,diff_123,M,floridae
2.99,1.42,4.68,I,M,floridae
2.76,1.32,4.57,I_1,F,floridae
0.14,0.02,0.28,I_2,F,floridae
0.65,0.45,0.81,COI1_2,F,floridae
-0.04,-0.17,0.072,COI1_2given1,F,floridae
-0.57,-0.76,-0.32,diff_12,F,floridae
2.95,1.49,4.71,I_12,F,floridae
0.048,0.0012,0.13,I_3,F,floridae
0.66,0.47,0.82,COI12_3,F,floridae
0.062,-0.041,0.2,COI12_3given2,F,floridae
-0.55,-0.78,-0.24,diff_123,F,floridae
3.16,1.64,4.9,I,F,floridae
2.75,1.46,4.13,I_1,M,fuscus
0.052,0.00086,0.14,I_2,M,fuscus
0.64,0.43,0.89,COI1_2,M,fuscus
-0.012,-0.046,0,COI1_2given1,M,fuscus
-0.57,-0.8,-0.31,diff_12,M,fuscus
2.86,1.6,4.24,I_12,M,fuscus
0.0013,0,0.0036,I_3,M,fuscus
0.64,0.44,0.88,COI12_3,M,fuscus
0.0075,-0.001,0.022,COI12_3given2,M,fuscus
-0.64,-0.88,-0.43,diff_123,M,fuscus
2.88,1.63,4.29,I,M,fuscus
2.78,1.36,4.32,I_1,F,fuscus
0.036,0.0002,0.13,I_2,F,fuscus
0.64,0.4,0.85,COI1_2,F,fuscus
0.0073,0,0.024,COI1_2given1,F,fuscus
-0.59,-0.83,-0.34,diff_12,F,fuscus
2.87,1.5,4.52,I_12,F,fuscus
0.0003,0,0.0017,I_3,F,fuscus
0.64,0.4,0.89,COI12_3,F,fuscus
0.0026,-0.0017,0.0074,COI12_3given2,F,fuscus
-0.63,-0.91,-0.4,diff_123,F,fuscus
2.88,1.51,4.52,I,F,fuscus
0.18,0.047,0.51,I_1,M,scovelli
0.088,0.052,0.13,I_2,M,scovelli
0.1,0.041,0.51,COI1_2,M,scovelli
0,0,0,COI1_2given1,M,scovelli
-0.094,-0.15,-0.036,diff_12,M,scovelli
0.27,0.12,0.59,I_12,M,scovelli
0.067,0.014,0.18,I_3,M,scovelli
0.12,0.048,0.2,COI12_3,M,scovelli
0.015,-0.002,0.039,COI12_3given2,M,scovelli
-0.1,-0.18,-0.038,diff_123,M,scovelli
0.37,0.18,0.71,I,M,scovelli
1.79,0.92,3.1,I_1,F,scovelli
0.048,0.022,0.08,I_2,F,scovelli
0.51,0.35,0.66,COI1_2,F,scovelli
-0.05,-0.12,0.006,COI1_2given1,F,scovelli
-0.52,-0.67,-0.36,diff_12,F,scovelli
1.78,0.92,3.05,I_12,F,scovelli
0.0063,0.0014,0.013,I_3,F,scovelli
0.52,0.37,0.67,COI12_3,F,scovelli
0.005,-0.024,0.04,COI12_3given2,F,scovelli
-0.51,-0.66,-0.36,diff_123,F,scovelli
1.8,0.92,3.06,I,F,scovelli
