"momID","trial_num","fishID","col_month","lat_to_trial","weight","length","depth","svl","snout_len","depth_adj","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated"
"FU10F1",10,"1","july",12,3.4,202.065,7.423,77.519,11.565,0.0957571692101291,0,0,0,0,0
"FU10F2",10,"2","july",12,2.9,192.257,6.619,72.614,10.912,0.0911532211419285,0,0,0,0,0
"FU10F3",10,"3","july",12,1.2,145.704,4.457,60.731,8.661,0.0733892081474041,1,267,4,271,1
"FU10F4",10,"4","july",12,1.4,156.019,4.268,67.031,9.73,0.0636720323432442,0,0,0,0,0
"FU10F5",10,"5","july",12,1.5,145.716,4.215,61.603,9.71,0.0684219924354333,0,0,0,0,0
"FU10F6",10,"6","july",12,1.5,151.358,4.016,69.647,9.638,0.0576622108633538,1,262,4,266,1
"FU11F1",11,"1","july",12,1.5,144.901,4.209,59.517,8.082,0.0707192902868088,2,211,37,248,1
"FU11F2",11,"2","july",12,1.3,145.687,4.094,58.951,9.173,0.0694475072517854,0,0,0,0,0
"FU11F3",11,"3","july",12,2.9,169.373,6.639,68.469,10.675,0.0969635893616089,1,54,14,68,1
"FU11F4",11,"4","july",12,1.6,150.637,4.785,61.239,8.704,0.078136481653848,0,0,0,0,0
"FU11F5",11,"5","july",12,1.6,145.956,5.074,58.608,8.877,0.0865752115752116,0,0,0,0,0
"FU11F6",11,"6","july",12,1.2,139.128,3.906,51.345,9.154,0.0760736196319018,0,0,0,0,0
"FU12F1",12,"1","july",14,1.8,151.205,4.943,61.089,9.402,0.0809147309662951,0,0,0,0,0
"FU12F2",12,"2","july",14,1.7,150.455,5.024,62.24,10.095,0.080719794344473,0,0,0,0,0
"FU12F3",12,"3","july",14,2.7,167.877,6.407,68.41,10.758,0.0936558982604882,2,418,152,570,1
"FU12F4",12,"4","july",14,1.3,141.824,3.951,57.594,8.548,0.068600895926659,0,0,0,0,0
"FU12F5",12,"5","july",14,1.2,128.91,3.219,61.304,7.578,0.0525088085606159,0,0,0,0,0
"FU12F6",12,"6","july",14,1.6,161.704,4.493,69.243,9.717,0.0648874254437272,0,0,0,0,0
"FU13F1",13,"1","july",14,1.6,155.733,4.387,64.12,9.523,0.068418590143481,0,0,0,0,0
"FU13F2",13,"2","july",14,1.4,149.057,3.817,60.825,8.785,0.06275380189067,1,99,17,116,1
"FU13F3",13,"3","july",14,1.2,145.641,4.224,58.959,8.393,0.0716430061568208,0,0,0,0,0
"FU13F4",13,"4","july",14,1.3,135.686,4.413,54.883,7.799,0.080407412131261,1,90,4,94,1
"FU13F5",13,"5","july",14,2.1,172.765,5.499,71.71,11.911,0.0766838655696556,1,193,0,193,1
"FU13F6",13,"6","july",14,1.4,146.312,3.956,56.702,8.403,0.0697682621424288,0,0,0,0,0
"FU14F1",14,"1","july",16,1.3,112.828,3.602,68.503,8.728,0.0525816387603463,0,0,0,0,0
"FU14F2",14,"2","july",16,1.3,128.041,3.803,49.982,7.769,0.0760873914609259,0,0,0,0,0
"FU14F3",14,"3","july",16,1.3,140.935,3.699,53.955,7.634,0.068557130942452,0,0,0,0,0
"FU14F4",14,"4","july",16,3,173.357,6.242,67.229,8.167,0.0928468369304913,1,161,3,164,1
"FU14F5",14,"5","july",16,1.3,144.064,4.109,57.445,8.453,0.0715292888850205,0,0,0,0,0
"FU14F6",14,"6","july",16,1.3,138.641,3.923,56.147,7.567,0.0698701622526582,1,181,0,181,1
"FU15F1",15,"1","july",16,1,139.341,3.93,57.564,8.67,0.0682718365645195,0,0,0,0,0
"FU15F2",15,"2","july",16,1.2,141.831,3.79,56.55,8.796,0.0670203359858532,0,0,0,0,0
"FU15F3",15,"3","july",16,1.7,157.988,4.278,61.839,9.294,0.0691796439140348,0,0,0,0,0
"FU15F4",15,"4","july",16,1.9,152.997,4.482,63.47,9.608,0.0706160390735781,0,0,0,0,0
"FU15F5",15,"5","july",16,1.8,156.164,4.405,63.707,9.971,0.069144677978872,1,68,4,72,1
"FU15F6",15,"6","july",16,1.2,137.125,3.788,53.899,8.547,0.0702795970240635,0,0,0,0,0
"FU16F1",16,"1","july",18,1.6,145.232,3.839,59.05,8.927,0.0650127011007621,0,0,0,0,0
"FU16F2",16,"2","july",18,1.3,137.934,3.789,55.767,8.205,0.0679434073914681,0,0,0,0,0
"FU16F3",16,"3","july",18,0.9,134.22,3.538,50.534,7.934,0.0700122689674279,0,0,0,0,0
"FU16F4",16,"4","july",18,1.2,145.905,4.134,60.027,9.233,0.0688690089459743,0,0,0,0,0
"FU16F5",16,"5","july",18,1.1,142.391,3.222,56.804,8.011,0.0567213576508697,0,0,0,0,0
"FU16F6",16,"6","july",18,2.5,165.037,4.954,68.937,10.073,0.0718627152327487,1,197,6,203,1
