"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","depth","svl","femID","mated","depth_adj"
"C1",1,2,"1,2","m",60,60,0,101.02,5.354,44.889,"C1F1",1,0.119271982000045
"C1",3,1,"1","s",35,35,0,104.08,4.994,44.838,"C1F3",1,0.111378741246264
"C1",4,2,"1,1","m",60,58,2,90.03,5.328,41.12,"C1F4",1,0.129571984435798
"C1",5,1,"7","s",40,40,0,97.55,4.966,40.051,"C1F5",1,0.123991910314349
"C1",6,0,"","0",0,0,0,97.39,4.121,39.805,"C1F6",0,0.103529707323201
"C1",7,0,"","0",0,0,0,92.85,4.197,37.331,"C1F7",0,0.112426669523988
"C1",8,0,"","0",0,0,0,99.16,4.119,40.789,"C1F8",0,0.100983108190934
"C3",1,0,"","0",0,0,0,98.5,4.411,42.003,"C3F1",0,0.105016308358927
"C3",2,0,"","0",0,0,0,96,4.059,39.796,"C3F2",0,0.101995175394512
"C3",3,1,"5","s",24,24,0,88.68,3.753,38.542,"C3F3",1,0.0973742929790877
"C3",4,2,"1,3","m",44,44,0,88.25,5,38.223,"C3F4",1,0.130811291630694
"C3",5,1,"3","s",42,41,1,103.21,5.151,42.798,"C3F5",1,0.12035609140614
"C3",6,2,"1,1,5","m",63,63,0,96.13,4.675,40.322,"C3F6",1,0.115941669560042
"C3",7,1,"10","s",18,18,0,97.86,3.779,40.189,"C3F7",1,0.0940307049192565
"C3",8,0,"","0",0,0,0,95.26,4.103,36.651,"C3F8",0,0.1119478322556
"C4",1,3,"2,2,4","m",87,84,3,94.62,5.197,40,"C4F1",1,0.129925
"C4",2,0,"","0",0,0,0,99.56,4.516,41.097,"C4F2",0,0.10988636640144
"C4",3,0,"","0",0,0,0,92.98,4.636,43.137,"C4F3",0,0.107471544150034
"C4",4,0,"","0",0,0,0,92.76,4.249,38.46,"C4F4",0,0.110478419136765
"C4",5,0,"","0",0,0,0,89.43,4.491,36.713,"C4F5",0,0.122327241031787
"C4",6,0,"","0",0,0,0,97.97,4.576,40.233,"C4F6",0,0.113737479183755
"C4",7,0,"","0",0,0,0,88.64,4.247,36.983,"C4F7",0,0.114836546521375
"C4",8,2,"3,7","m",48,34,14,95.59,4.836,36.91,"C4F8",1,0.131021403413709
"C5",1,2,"10,12","m",43,33,10,104.3,4.471,43.318,"C5F1",1,0.103213444757376
"C5",2,1,"1","s",25,25,0,93.79,4.829,38.273,"C5F2",1,0.126172497583153
"C5",3,0,"","0",0,0,0,98.97,3.893,38.555,"C5F3",0,0.100972636493321
"C5",4,0,"","0",0,0,0,101.14,4.673,40.809,"C5F4",0,0.11450905437526
"C5",5,3,"1,7,13","m",71,64,7,95.58,4.855,39.818,"C5F5",1,0.121929780501281
"C5",6,1,"6","s",27,24,3,97.25,4.681,40.833,"C5F6",1,0.114637670511596
"C5",7,0,"","0",0,0,0,90.04,4.11,37.621,"C5F7",0,0.109247494750272
"C5",8,0,"","0",0,0,0,94.8,4.421,40.256,"C5F8",0,0.109822138314785
"C6",1,0,"","0",0,0,0,97.26,4.848,39.422,"C6F1",0,0.122977017908782
"C6",2,0,"","0",0,0,0,93.18,4.927,39.6,"C6F2",0,0.124419191919192
"C6",3,1,"1","s",34,32,2,98.35,5.238,39.999,"C6F3",1,0.130953273831846
"C6",4,0,"","0",0,0,0,88.79,4.562,38.65,"C6F4",0,0.118033635187581
"C6",5,0,"","0",0,0,0,97.13,5.299,47.668,"C6F5",0,0.1111647226651
"C6",6,1,"2","s",38,38,0,112.51,6.082,44.757,"C6F6",1,0.135889358089237
"C6",7,2,"1,2","m",48,46,2,95.43,4.962,40.153,"C6F7",1,0.12357731676338
"C6",8,3,"1,1,3","m",54,43,11,107.35,5.835,47.614,"C6F8",1,0.122547990086949
"C7",1,0,"","0",0,0,0,91.14,4.962,38.22,"C7F1",0,0.129827315541601
"C7",2,1,"1","s",26,25,1,99.71,5.154,41.021,"C7F2",1,0.12564296336023
"C7",3,2,"4,9","m",47,37,10,100.07,5.291,41.371,"C7F3",1,0.127891518213241
"C7",4,0,"","0",0,0,0,94.68,4.442,39.924,"C7F4",0,0.111261396653642
"C7",5,0,"","0",0,0,0,102.52,5.56,44.265,"C7F5",0,0.125607138822998
"C7",6,2,"1,7","m",26,15,11,104.16,5.5,45.603,"C7F6",1,0.120606100475846
"C7",7,0,"","0",0,0,0,98.91,5.066,41.686,"C7F7",0,0.121527611188409
"C7",8,2,"1,9","m",75,64,11,91.64,5.091,38.576,"C7F8",1,0.131973247615097
"C8",1,1,"1","s",44,43,1,99.65,5.732,43.456,"C8F1",1,0.13190353460972
"C8",2,0,"","0",0,0,0,91.97,4.968,39.921,"C8F2",0,0.124445780416322
"C8",3,1,"3","s",53,52,1,99.74,4.99,44.143,"C8F3",1,0.113041705366649
"C8",4,1,"1","s",25,25,0,105.14,4.891,41.768,"C8F4",1,0.117099214709826
"C8",5,1,"2","s",51,51,0,95.53,5.401,42.731,"C8F5",1,0.126395357000772
"C8",6,1,"2","s",29,29,0,101.63,4.397,43.535,"C8F6",1,0.100999196049156
"C8",7,0,"","0",0,0,0,110.949,4.852,45.001,"C8F7",0,0.107819826226084
"C8",8,3,"1,1,2","m",104,95,9,116.04,6.469,51.111,"C8F8",1,0.126567666451449
