"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"FL12F1",12,1,"TBML","november",13,3.6,189.603,6.972,87.644,0.0367715700700938,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL12F2",12,2,"TBML","november",13,4.6,195.714,7.464,83.414,0.0381372819522364,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL12F3",12,3,"TBML","november",13,4.5,190.545,7.709,88.796,0.040457634679472,"F",1,204,32,236,"1",4,16,236,118,0.993684210526316,0.864406779661017,0.429473684210526,1.08910668524929,0.00394492698956519
"FL12F4",12,4,"TBML","november",13,5.6,201.046,8.654,92.544,0.0430448753021697,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL12F5",12,5,"TBML","november",13,3.1,170.164,6.707,80.435,0.0394149173738276,"F",1,173,66,239,"1",4,16,239,119.5,1.00631578947368,0.723849372384937,0.364210526315789,0.912011808707812,0.00389540907756228
"FL12F6",12,6,"TBML","november",13,2,164.242,5.179,71.73,0.0315327382764457,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL12F7",12,7,"TBML","november",13,2,154.88,4.843,67.778,0.0312693698347107,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL12F8",12,8,"TBML","november",13,2.2,167.522,5.655,73.457,0.0337567603061091,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL2F1",2,1,"TBML","october",12,4.8,199.032,7.376,88.812,0.0370593673379155,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL2F2",2,2,"TBML","october",12,2.4,169.335,5.32,76.236,0.0314170136120707,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL2F3",2,3,"TBML","october",12,5.3,209.808,8.059,103.071,0.0384113093876306,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL2F4",2,4,"TBML","september",19,3.1,171.947,6.569,77.543,0.0382036325146702,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL2F5",2,5,"TBML","september",19,1.7,147.601,4.996,63.396,0.0338480091598295,"F",1,131,28,159,"1",2,4,159,39.75,1.19324577861163,0.823899371069182,0.24577861163227,1.05562106918239,0.000922887111785669
"FL2F6",2,6,"TBML","september",19,1.9,152.714,4.68,70.134,0.0306455203845096,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL2F7",2,7,"TBML","september",19,3.5,184.933,6.452,85.602,0.0348883109017861,"F",1,122,48,170,"1",2,4,170,42.5,1.27579737335835,0.717647058823529,0.228893058161351,0.919485294117647,0.00206762671062797
"FL2F8",2,8,"TBML","september",19,2.7,175.575,6.269,78.212,0.0357055389434715,"F",2,163,41,204,"1",4,16,102,51,0.765478424015009,0.799019607843137,0.305816135084428,1.02374387254902,0.000215777453394584
"FL3F1",3,1,"TBML","october",19,5.6,203.611,8.484,95.139,0.0416676898595852,"F",1,85,3,88,"1",0.8,0.64,88,8.8,0.363937138130687,0.965909090909091,0.0351530190239868,1.10953357806089,0.000436637392724704
"FL3F2",3,2,"TBML","october",12,3.4,181.831,8.033,86.401,0.0441783854238276,"F",3,731,31,762,"1",2.4,5.76,254,76.2,1.05045492142266,0.959317585301837,0.302315963606286,1.10196195784316,0.00327623470867395
"FL3F3",3,3,"TBML","october",5,1.2,142.32,3.914,63.24,0.0275014052838673,"F",1,154,131,285,"1",0.8,0.64,285,28.5,1.17866004962779,0.540350877192982,0.0636889991728701,0.6206975871984,0.0169574198932084
"FL3F4",3,4,"TBML","october",5,4,181.386,8.575,85.176,0.0472748723716274,"F",3,785,131,916,"1",2.4,5.76,305.333333333333,91.6,1.26275158533223,0.856986899563319,0.32464846980976,0.984415355412876,9.20095659912227e-05
"FL3F5",3,5,"TBML","october",5,3.3,162.618,6.991,76.801,0.0429903208746879,"F",2,350,17,367,"1",1.6,2.56,183.5,36.7,0.75889164598842,0.953678474114441,0.144747725392887,1.09548434698752,0.00138380256852979
"FL3F6",3,6,"TBML","october",19,1.2,139.352,4.015,63.443,0.0288119295022676,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL3F7",3,7,"TBML","october",19,1.4,148.166,4.285,64.288,0.0289202651080545,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL3F8",3,8,"TBML","october",5,2,156.81,5.194,72.794,0.0331228875709457,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL4F1",4,1,"FD","october",11,2.1,156.414,5.208,66.831,0.0332962522536346,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
