"maleID","trial_num","fishID","col_location","col_date","lat_to_trial","weight","length","depth","svl","bp_area","bp_length","preg_status","lat_to_preg","depth_adj","Sex","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FL12M1",12,1,"TBML","november",13,2.1,164.461,5.266,70.876,"178.759",33.97,"0",NA,0.0320197493630709,"M",0,0,0,0,0,NA,0,NA,0,-0.751417086576222
"FL12M2",12,2,"TBML","november",13,3.8,183.007,6.155,76.211,"255.654",48.613,"0",NA,0.0336325932887813,"M",0,0,0,0,0,NA,0,NA,0,0.255252549153365
"FL12M3",12,3,"TBML","november",13,3,166.805,5.032,69.713,"244.224",43.509,"1",1,0.0301669614220197,"M",1,204,32,236,4,236,0.993684210526316,0.864406779661017,1.0884979460618,-0.970865406417557
"FL12M4",12,4,"TBML","november",13,4.4,164.553,6.809,82.816,"334.015",53.008,"0",NA,0.0413787655041233,"M",0,0,0,0,0,NA,0,NA,0,1.50156050491605
"FL12M5",12,5,"TBML","november",13,4,184.048,6.353,73.813,"304.415",51.056,"0",NA,0.0345181691732592,"M",0,0,0,0,0,NA,0,NA,0,-0.197229885050862
"FL12M6",12,6,"TBML","november",13,3.2,179.026,5.905,76.184,"255.328",45.385,"0",NA,0.0329840358383698,"M",0,0,0,0,0,NA,0,NA,0,0.250157876207779
"FL12M7",12,7,"TBML","november",13,2.4,161.592,5.505,68.063,"212.203",39.417,"1",4,0.0340672805584435,"M",1,173,66,239,4,239,1.00631578947368,0.723849372384937,0.911502053938203,-1.28220653087001
"FL12M8",12,8,"TBML","november",13,3.6,191.795,6.032,81.19,NA,NA,"0",NA,0.0314502463567872,"M",0,0,0,0,0,NA,0,NA,0,1.19474797863745
"FL2M1",2,1,"TBML","september",19,3.3,179.53,6.157,75.048,"248.56",46.541,"0",NA,0.0342951038823595,"M",0,0,0,0,0,NA,0,NA,0,0.145631861724785
"FL2M2",2,2,"TBML","september",19,2.3,167.096,4.817,67.123,"256.911",56.069,"1",10,0.0288277397424235,"M",1,25,0,25,2,25,0.209205020920502,1,1.16782181690635,-0.826473848251139
"FL2M3",2,3,"TBML","october",12,5.1,203.378,7.164,86.735,"291.69",50.16,"1",2,0.0352250489236791,"M",1,131,28,159,2,159,1.33054393305439,0.823899371069182,0.962167660470011,1.57919645888423
"FL2M4",2,4,"TBML","october",12,4.9,208.83,6.801,80.84,"482.708",62.954,"0",NA,0.0325671598908203,"M",0,0,0,0,0,NA,0,NA,0,0.85609700647943
"FL2M5",2,5,"TBML","october",12,2,168.044,4.556,68.549,"195.087",47.338,"0",NA,0.0271119468710576,"M",0,0,0,0,0,NA,0,NA,0,-0.651556152046007
"FL2M6",2,6,"TBML","october",12,3.5,180.689,5.692,78.81,"262.56",48.773,"0",NA,0.0315016409410645,"M",0,0,0,0,0,NA,0,NA,0,0.607090748908309
"FL2M7",2,7,"TBML","october",12,1.7,179.602,3.381,61.69,NA,NA,"0",NA,0.0188249574058195,"M",0,0,0,0,0,NA,0,NA,0,-1.49290291100183
"FL2M8",2,8,"TBML","october",12,2.7,176.745,5.401,72.091,"266.031",51.883,"1",4,0.0305581487453676,"M",2,260,89,349,4,174.5,1.4602510460251,0.744985673352435,0.870010522623641,-0.217083164697778
"FL3M1",3,1,"TBML","october",12,3.1,173.07,5.67,75.712,"226.528",45.033,"0",NA,0.0327613104524181,"M",0,0,0,0,0,NA,0,NA,0,0.501641162592735
"FL3M2",3,2,"TBML","october",12,3.9,189.35,6.709,76.701,"341.028",57.531,"1",1,0.035431740163718,"M",1,364,23,387,0.8,387,1.54007959067652,0.940568475452196,1.08443229909786,0.629495586405952
