"maleID","trial_num","fishID","col_date","lat_to_trial","weight","length","depth","svl","snout_len","bp_area","bp_length","preg_status","lat_to_preg","depth_adj","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs"
"FU10M1",10,"1","july",12,1,123.179,3.238,47.411,6.967,89.502,30.784,1,6,0.0682963869144291,1,262,4,266
"FU10M2",10,"2","july",12,1.2,139.804,3.325,53.167,8.035,105.765,31.523,1,10,0.0625387928602329,1,267,4,271
"FU10M3",10,"3","july",12,1.8,175.833,4.439,63.784,9.58,215.609,40.206,0,NA,0.0695942556126928,0,0,0,0
"FU10M4",10,"4","july",12,1.7,156.018,3.87,57.827,8.067,149.978,34.986,1,4,0.0669237553392014,0,0,0,0
"FU10M5",10,"5","july",12,1,118.582,3.262,45.258,8.213,89.026,31.404,0,NA,0.0720756551327942,0,0,0,0
"FU10M6",10,"6","july",12,1.5,148.091,3.847,53.652,9.077,147.318,37.707,0,NA,0.0717028256169388,0,0,0,0
"FU11M1",11,"1","july",12,0.8,120.799,3.129,44.679,7.009,104.289,35.18,0,NA,0.0700329013630565,0,0,0,0
"FU11M2",11,"2","july",12,1.2,125.216,3.699,47.4,7.48,111.254,28.034,1,3,0.0780379746835443,2,120,18,138
"FU11M3",11,"3","july",12,1.3,146.114,4.027,55.491,8.101,106.188,38.436,0,NA,0.0725703267196482,0,0,0,0
"FU11M4",11,"4","july",12,1,118.642,3.481,49.56,8.34,107.493,31.921,1,17,0.0702380952380952,1,145,33,178
"FU11M5",11,"5","july",12,0.9,131.945,3.35,50.555,8.443,91.916,29.343,0,NA,0.0662644644446642,0,0,0,0
"FU11M6",11,"6","july",12,0.8,125.168,3.088,47.685,8.107,89.043,26.322,0,NA,0.0647583097410087,0,0,0,0
"FU12M1",12,"1","july",14,1.4,137.086,3.634,51.11,8.308,104.166,33.204,1,12,0.0711015456857758,1,85,68,153
"FU12M2",12,"2","july",14,1.2,143.746,3.647,56.5,8.585,91.615,34.328,0,NA,0.0645486725663717,0,0,0,0
"FU12M3",12,"3","july",14,1.4,142.833,4.464,53.227,8.003,101.429,30.312,0,NA,0.0838672102504368,0,0,0,0
"FU12M4",12,"4","july",14,1.6,130.106,3.953,52.408,8.762,93.735,29.402,1,4,0.075427415661731,1,333,84,417
"FU12M5",12,"5","july",14,1.1,115.367,3.493,44.443,7.425,71.45,26.226,0,NA,0.078595054339266,0,0,0,0
"FU12M6",12,"6","july",14,1.3,128.967,3.61,49.525,8.899,106.792,34.015,0,NA,0.0728924785461888,0,0,0,0
"FU13M1",13,"1","july",14,1.1,124.056,3.733,46.288,7.6,90.35,27.752,1,8,0.0806472519875562,1,99,17,116
"FU13M2",13,"2","july",14,1.3,130.657,4.136,50.232,8.287,98.955,29.097,0,NA,0.0823379519031693,0,0,0,0
"FU13M3",13,"3","july",14,1.5,153.189,3.721,58.309,8.451,114.504,33.434,0,NA,0.0638151914798745,0,0,0,0
"FU13M4",13,"4","july",14,1.1,124.637,3.632,47.75,6.94,103.163,29.944,0,NA,0.0760628272251309,0,0,0,0
"FU13M5",13,"5","july",14,0.9,112.065,3.318,42.673,5.964,74.098,22.308,1,30,0.0777540833782485,1,193,0,193
"FU13M6",13,"6","july",14,1.2,133.186,3.572,50.65,7.653,91.075,28.18,1,2,0.0705231984205331,1,90,4,94
"FU14M1",14,"1","july",16,0.9,116.07,2.963,44.22,7.013,69.438,25.702,0,NA,0.0670058796924469,0,0,0,0
"FU14M2",14,"2","july",16,1.4,136.652,3.766,53.407,7.854,118.377,34.728,0,NA,0.0705151010167207,0,0,0,0
"FU14M3",14,"3","july",16,0.8,116.985,3.09,44.291,6.552,73.302,24.666,0,NA,0.0697658666546251,0,0,0,0
"FU14M4",14,"4","july",16,1.2,130.409,3.467,49.684,7.27,91.763,29.544,0,NA,0.0697810160212543,0,0,0,0
"FU14M5",14,"5","july",16,1.2,126.656,3.816,49.591,7.958,72.205,25.15,1,3,0.0769494464721421,1,161,3,164
"FU14M6",14,"6","july",16,1.8,158.934,4.091,59.02,9.124,119.572,35.842,1,32,0.0693154862758387,1,181,0,181
"FU15M1",15,"1","july",16,1.1,131.234,3.497,49.493,7.765,97.573,31.638,0,NA,0.0706564564685915,0,0,0,0
"FU15M2",15,"2","july",16,1.3,143.057,3.557,53.082,8.224,111.123,32.844,0,NA,0.0670095324215365,0,0,0,0
"FU15M3",15,"3","july",16,1.4,132.43,3.784,54.137,8.603,97.087,29.204,0,NA,0.0698967434471803,0,0,0,0
"FU15M4",15,"4","july",16,1.4,136.583,3.673,54.599,8.946,126.428,34.52,0,NA,0.0672722943643657,0,0,0,0
"FU15M5",15,"5","july",16,1.2,130.241,3.452,50.689,8.123,90.058,28.457,1,14,0.0681015604963602,1,68,4,72
"FU15M6",15,"6","july",16,1.8,160.45,4.148,63.895,8.957,151.38,37.79,0,NA,0.064919007747085,0,0,0,0
