"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","depth","svl","bp_area","bp_length","maleID","MatingSuccess","depth_adj"
"C1",1,5,"F5",40,0,40,7,1,87.43,"9.755","s",3.181,35.773,40.802,22.962,"C1M1",1,0.0889218125401839
"C1",2,NA,NA,0,0,0,NA,NA,74.13,NA,NA,2.921,30.103,25.652,14.823,"C1M2",0,0.0970335182539946
"C1",3,2,"F4",40,1,41,1,0.975609756,85.3,"9.003","m",2.923,30.528,25.529,13.811,"C1M3",1,0.0957481656184486
"C1",4,2,"F4",18,1,19,1,0.947368421,87.41,"9.003","m",3.185,34.432,39.565,17.033,"C1M4",1,0.0925011617100372
"C1",6,3,"F1",35,0,35,2,1,85.5,"10.102","m",3.259,34.416,42.05,15.895,"C1M6",1,0.0946943282194328
"C1",7,1,"F3",35,0,35,1,1,86.24,"10.408","s",3.276,35.875,42.49,16.302,"C1M7",1,0.0913170731707317
"C1",8,2,"F1",20,0,20,1,1,83.93,"10.102","m",3.177,33.039,37.859,16.633,"C1M8",1,0.0961590847180605
"C3",1,1,"F6",16,0,16,1,1,93.78,"9.613","m",3.645,35.51,63.161,21.051,"C3M1",1,0.102647141650239
"C3",2,3,"F3",24,0,24,5,1,75.11,"8.868","s",2.52,28.967,30.744,13.361,"C3M2",1,0.0869955466565402
"C3",3,1,"F4",24,0,24,1,1,79.11,"8.825","m",2.997,31.897,36.511,14.008,"C3M3",1,0.0939586794996395
"C3",4,3,"F6",29,0,29,5,1,90.47,"9.613","m",3.231,35.508,42.477,19.678,"C3M4",1,0.0909935789117945
"C3",5,2,"F5",41,1,42,3,0.976190476,94.14,"10.321","s",3.964,39.183,37.406,16.302,"C3M5",1,0.101166322129495
"C3",6,2,"F4",20,0,20,3,1,78.39,"8.825","m",2.725,30.187,35.942,15.286,"C3M6",1,0.0902706463047007
"C3",7,1,"F6",29,5,34,1,0.852941176,86.43,"9.613","m",3.088,33.664,37.419,17.213,"C3M7",1,0.0917300380228137
"C3",8,4,"F7",18,0,18,10,1,85.36,"9.786","s",3.101,34.978,48.972,17.045,"C3M8",1,0.0886557264566299
"C4",1,NA,NA,0,0,0,NA,NA,75.6,NA,NA,2.582,30.264,32.694,14.735,"C4M1",0,0.0853158868622786
"C4",2,NA,NA,0,0,0,NA,NA,82.43,NA,NA,2.54,32.057,44.337,17.339,"C4M2",0,0.0792338646785413
"C4",3,1,"F1",27,0,27,2,1,85.6,"9.462","m",3.245,33.855,41.271,21.399,"C4M3",1,0.0958499483089647
