"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","depth","svl","femID","depth_adj","Sex","mated","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"C1",1,2,"1,2","m",60,60,0,101.02,5.354,44.889,"C1F1",0.0529994060582063,"F","1",2.33333333333333,30,0.888888888888889,1,1.00840336134454,1.32160974653512
"C1",3,1,"1","s",35,35,0,104.08,4.994,44.838,"C1F3",0.0479823212913144,"F","1",1.16666666666667,35,1.03703703703704,1,1.00840336134454,1.30303436545193
"C1",4,2,"1,1","m",60,58,2,90.03,5.328,41.12,"C1F4",0.0591802732422526,"F","1",2.33333333333333,30,0.888888888888889,0.966666666666667,0.974789915966387,-0.051147337828505
"C1",5,1,"7","s",40,40,0,97.55,4.966,40.051,"C1F5",0.0509072270630446,"F","1",1.16666666666667,40,1.18518518518519,1,1.00840336134454,-0.440501894258515
"C1",6,0,"","0",0,0,0,97.39,4.121,39.805,"C1F6",0.0423144059965089,"F","0",0,NA,0,NA,0,-0.530100791248023
"C1",7,0,"","0",0,0,0,92.85,4.197,37.331,"C1F7",0.0452019386106624,"F","0",0,NA,0,NA,0,-1.43118888536201
"C1",8,0,"","0",0,0,0,99.16,4.119,40.789,"C1F8",0.0415389269866882,"F","0",0,NA,0,NA,0,-0.171705203289995
"C3",1,0,"","0",0,0,0,98.5,4.411,42.003,"C3F1",0.0447817258883249,"F","0",0,NA,0,NA,0,NA
"C3",2,0,"","0",0,0,0,96,4.059,39.796,"C3F2",0.04228125,"F","0",0,NA,0,NA,0,NA
"C3",3,1,"5","s",24,24,0,88.68,3.753,38.542,"C3F3",0.0423207036535859,"F","1",1.14285714285714,24,0.872727272727273,1,1.00478468899522,NA
"C3",4,2,"1,3","m",44,44,0,88.25,NA,NA,"C3F4",NA,"F","1",2.28571428571429,22,0.8,1,1.00478468899522,NA
"C3",5,1,"3","s",42,41,1,103.21,5.151,42.798,"C3F5",0.0499079546555566,"F","1",1.14285714285714,42,1.52727272727273,0.976190476190476,0.980861244019139,NA
"C3",6,2,"1,1,5","m",63,63,0,96.13,4.675,40.322,"C3F6",0.0486320607510663,"F","1",2.28571428571429,31.5,1.14545454545455,1,1.00478468899522,NA
"C3",7,1,"10","s",18,18,0,97.86,3.779,40.189,"C3F7",0.0386163907623135,"F","1",1.14285714285714,18,0.654545454545455,1,1.00478468899522,NA
"C3",8,0,"","0",0,0,0,95.26,4.103,36.651,"C3F8",0.0430715935334873,"F","0",0,NA,0,NA,0,NA
"C4",1,3,"2,2,4","m",87,84,3,94.62,5.197,40,"C4F1",0.0549249630099345,"F","1",4.8,29,1.09433962264151,0.96551724137931,1.15364806866953,NA
"C4",2,0,"","0",0,0,0,99.56,4.516,41.097,"C4F2",0.0453595821615106,"F","0",0,NA,0,NA,0,NA
"C4",3,0,"","0",0,0,0,92.98,4.636,43.137,"C4F3",0.0498601849860185,"F","0",0,NA,0,NA,0,NA
"C4",4,0,"","0",0,0,0,92.76,4.249,38.46,"C4F4",0.0458063820612333,"F","0",0,NA,0,NA,0,NA
"C4",5,0,"","0",0,0,0,89.43,4.491,36.713,"C4F5",0.0502180476350218,"F","0",0,NA,0,NA,0,NA
"C4",6,0,"","0",0,0,0,97.97,4.576,40.233,"C4F6",0.0467081759722364,"F","0",0,NA,0,NA,0,NA
"C4",7,0,"","0",0,0,0,88.64,4.247,36.983,"C4F7",0.0479129061371841,"F","0",0,NA,0,NA,0,NA
"C4",8,2,"3,7","m",48,34,14,95.59,NA,NA,"C4F8",NA,"F","1",3.2,24,0.905660377358491,0.708333333333333,0.846351931330472,NA
"C5",1,2,"10,12","m",43,33,10,104.3,4.471,43.318,"C5F1",0.0428667305848514,"F","1",2.28571428571429,21.5,0.885077186963979,0.767441860465116,0.862842178485208,1.85994379691966
"C5",2,1,"1","s",25,25,0,93.79,4.829,38.273,"C5F2",0.0514873653907666,"F","1",1.14285714285714,25,1.02915951972556,1,1.12430950529891,-0.914060550431786
"C5",3,0,"","0",0,0,0,98.97,3.893,38.555,"C5F3",0.0393351520662827,"F","0",0,NA,0,NA,0,-0.759002230123937
"C5",4,0,"","0",0,0,0,101.14,4.673,40.809,"C5F4",0.0462032825786039,"F","0",0,NA,0,NA,0,0.480364627939525
"C5",5,3,"1,7,13","m",71,64,7,95.58,4.855,39.818,"C5F5",0.0507951454279138,"F","1",3.42857142857143,23.6666666666667,0.974271012006861,0.901408450704225,1.01346208928352,-0.064538901936647
"C5",6,1,"6","s",27,24,3,97.25,4.681,40.833,"C5F6",0.048133676092545,"F","1",1.14285714285714,27,1.1114922813036,0.888888888888889,0.999386226932362,0.493561080731683
"C5",7,0,"","0",0,0,0,90.04,4.11,37.621,"C5F7",0.0456463793869391,"F","0",0,NA,0,NA,0,-1.27256418461873
"C5",8,0,"","0",0,0,0,94.8,4.421,40.256,"C5F8",0.0466350210970464,"F","0",0,NA,0,NA,0,0.17629636152023
"C6",1,0,"","0",0,0,0,97.26,4.848,39.422,"C6F1",0.0498457742134485,"F","0",0,NA,0,NA,0,-0.736886532841006
"C6",2,0,"","0",0,0,0,93.18,4.927,39.6,"C6F2",0.0528761536810474,"F","0",0,NA,0,NA,0,-0.690222841696539
