average_cal,lower,upper,episode_sel,sex,species
2.698896,-5.092572,-0.132139,s1,M,floridae
1.930512,-0.277298,4.071687,s2,M,floridae
-0.418376,-1.072458,0.098118,s3,M,floridae
-0.768384,-1.572385,0.134175,s12,M,floridae
-1.186759,-1.894044,-0.468235,s123,M,floridae
-0.457204,-0.824185,-0.104706,s1_prime,M,floridae
0.329559,0.021811,0.671548,s2_prime,M,floridae
-0.057883,-0.140687,0.010949,s3_prime,M,floridae
-0.127645,-0.23895,-0.013372,s12_prime,M,floridae
-0.185528,-0.287653,-0.086717,s123_prime,M,floridae
-0.614036,-2.209032,0.931892,s1,M,fuscus
0.424356,-0.819361,1.648002,s2,M,fuscus
0.010789,-0.05258,0.087109,s3,M,fuscus
-0.18968,-0.650162,0.287145,s12,M,fuscus
-0.178892,-0.631378,0.293832,s123,M,fuscus
-0.189803,-0.529607,0.137317,s1_prime,M,fuscus
0.138035,-0.099576,0.400359,s2_prime,M,fuscus
0.000562,-0.023717,0.022673,s3_prime,M,fuscus
-0.051768,-0.153696,0.050421,s12_prime,M,fuscus
-0.051207,-0.152552,0.048431,s123_prime,M,fuscus
0.006749,-0.375404,0.321242,s1,M,scovelli
0.126983,-0.172755,0.450682,s2,M,scovelli
0.051408,-0.250024,0.374103,s3,M,scovelli
0.133733,-0.216121,0.485705,s12,M,scovelli
0.18514,-0.140124,0.533752,s123,M,scovelli
0.047733,-0.083234,0.185796,s1_prime,M,scovelli
0.020855,-0.101119,0.132343,s2_prime,M,scovelli
0.033726,-0.063417,0.138662,s3_prime,M,scovelli
0.068587,-0.040649,0.183528,s12_prime,M,scovelli
0.102313,-0.003274,0.214213,s123_prime,M,scovelli
2.133774729,-1.73495119,6.33434031,s1,F,floridae
-2.143347136,-5.303733869,1.4571088,s2,F,floridae
0.696839862,-0.345597525,1.81378535,s3,F,floridae
-0.009572408,-1.585070583,1.7805807,s12,F,floridae
0.687267454,-0.667752563,2.06765192,s123,F,floridae
0.20862877,-0.18320777,0.59993916,s1_prime,F,floridae
-0.202861938,-0.544145278,0.13532512,s2_prime,F,floridae
0.06028918,-0.030323267,0.15083885,s3_prime,F,floridae
0.005766833,-0.144066952,0.18652127,s12_prime,F,floridae
0.066056013,-0.06731387,0.19619913,s123_prime,F,floridae
2.139245095,0.606775944,3.6838896,s1,F,fuscus
-1.580744263,-2.877199758,-0.34474948,s2,F,fuscus
-0.012518699,-0.144848292,0.10020724,s3,F,fuscus
0.558500832,0.042164362,1.02693875,s12,F,fuscus
0.545982132,0.084077679,1.00967812,s123,F,fuscus
0.434125631,0.124474345,0.73694546,s1_prime,F,fuscus
-0.332288893,-0.593602157,-0.07558371,s2_prime,F,fuscus
0.002785775,-0.019468623,0.03306746,s3_prime,F,fuscus
0.101836738,0.007846028,0.18713344,s12_prime,F,fuscus
0.104622513,0.021758288,0.19236332,s123_prime,F,fuscus
0.865462861,-0.060076842,1.8703638,s1,F,scovelli
-0.634835014,-1.443419284,0.13213964,s2,F,scovelli
0.010414707,-0.095004943,0.11627298,s3,F,scovelli
0.230627847,-0.104839829,0.5546406,s12,F,scovelli
0.241042555,-0.055714342,0.55253954,s123,F,scovelli
0.303438552,0.058973252,0.67680034,s1_prime,F,scovelli
-0.20877468,-0.496867691,0.06922704,s2_prime,F,scovelli
-0.003703409,-0.046062056,0.03627988,s3_prime,F,scovelli
0.094663872,-0.037590001,0.22523026,s12_prime,F,scovelli
0.090960463,-0.037613233,0.2147204,s123_prime,F,scovelli
